issue,title,priority,status,project,scope,triage,current_disposition,reconciled_at
DEN-8,Expose and certify ChatGPT Browser MCP for safe browser workflows,Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-1041,[Slack agents] Launch Claude and ChatGPT from Linear-linked project channels,Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,top-eight detailed bump prepared,P1 Slack agent product completion,2026-08-03 America/Lima
DEN-1066,"Provide ChatGPT, Claude, and Gemini agent connection adapters and runnable demos",Medium,Todo,meta-agents-demo,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-258,Bridge Gmail triage to approved external browser workflows,High,In Progress,github.com/fiducia-cloud,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-1042,[Slack agents] Enable project-aware Claude and ChatGPT commands in Linear-linked channels,High,Duplicate,github.com/ORESoftware,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-834,[Prompt intake agent] Automate ChatGPT-thread reconciliation into Linear with GitHub landing evidence,High,In Progress,ai-agent-coordinator,Linear ChatGPT search,top-eight detailed bump prepared,P1 automate idempotent prompt intake,2026-08-03 America/Lima
DEN-28,Grant GitHub app write access to ORESoftware/k8s-cluster,Urgent,Done,github.com/ORESoftware,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-39,Investigate ChatGPT GitHub app 403 on personal-account repositories,Urgent,Duplicate,Messaging Intel,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-394,Add external Browser MCP protocol smoke tests and outage alerts,High,In Progress,k8s-cluster,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-395,Run five-application Platform Engineering browser pilot,High,Todo,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-256,Add a safe platform-job application workflow to Browser MCP,Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-1230,[Security incident] Rotate credentials exposed in alex-alex-me history and add import redaction gates,Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,top-eight detailed bump prepared,P0 credential rotation and import safety,2026-08-03 America/Lima
DEN-1298,[alex-main-agent] Deploy Slack event runtime and consume project routing manifests,Urgent,In Progress,ai-agent-bridge,Linear ChatGPT search,top-eight detailed bump prepared,P0 live Slack runtime activation,2026-08-03 America/Lima
DEN-318,"Provision OpenAI API project, billing, and secret for agent services",High,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-822,[Prompt intake] Reconcile recent ChatGPT project prompts into canonical Linear work without duplicates,High,In Progress,Shared Platform,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-299,Build and submit production-signed TestFlight and Play internal candidates,Urgent,In Progress,sonus-auris,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-27,[Security incident] Revoke exposed GitHub tokens and close the audit trail,Urgent,In Progress,Shared Platform,Linear ChatGPT search,top-eight detailed bump prepared,P0 operator security closure,2026-08-03 America/Lima
DEN-812,"Run daily Fiducia fundraising, credit, talent, and speaking application operations",Urgent,In Progress,fiducia-cloud,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-317,Revalidate Browser MCP after main reconciliation,Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-824,"[ai-agent-coordinator] Build a de-duplicated daily portfolio briefing across work, research, inbox, jobs, business, and prompt coverage",High,In Progress,ai-agent-coordinator,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-93,"Consolidate Sonus Auris feature branches, PRs, worktrees, and submodule pins into main",Urgent,In Progress,sonus-auris,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-533,"Complete clasp OAuth bootstrap, deploy bridge 1.0.1, and run the first Chat export",High,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-319,Enable GitHub repository creation for connected agent workflows,Urgent,In Progress,ai-agent-coordinator,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-268,"Execute the current cross-portfolio security, CI, release, and conformance queue",Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,P1 portfolio controller,2026-08-03 America/Lima
DEN-766,[Slack bridge] Add authenticated dual-model thread routing and paired replies,High,Done,ai-agent-bridge,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-608,"[fiducia-cloud] Close 31-repository coordination, cluster, release, and policy gaps",Urgent,In Progress,fiducia-cloud,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-1324,[alex-main-agent] Provision read-only cross-org credential for remote manifest drift audit,Urgent,Todo,ai-agent-bridge,Linear ChatGPT search,top-eight detailed bump prepared,P0 13-repository manifest audit credential,2026-08-03 America/Lima
DEN-833,[Benefactor growth] Reconcile HubSpot and run the staged 50–400-contact SendGrid campaign,High,In Progress,benefactor-cc,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-296,Run 24-hour and 72-hour iOS/Android recording endurance and interruption tests,Urgent,In Progress,sonus-auris,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-1057,Build the single-binary Rust meta-agent daemon and Leptos observability UI,High,In Progress,meta-agents-demo,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-986,"Implement self-report invitation, exchange, submission, and delivery APIs",High,In Progress,messaging-intel,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-393,Make Browser MCP public ingress resilient on AWS and Hetzner,Urgent,In Progress,k8s-cluster,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-881,[Hypesiege foundation] Complete and standardize the canonical 15-repository family,Urgent,In Progress,hypesiege,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-877,"[GitHub org onboarding] Connect hypesiege and streempilot, create repository families, and enable GitHub↔Linear sync",Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
